species,fruit_length_cm,fruit_width_cm,fruit_volume_cm^3
Canarium_album,35,16,586.4301333
Canarium_balansae,27.5,19,547.1602583
Canarium_bengalense,30,15,471.2385
Canarium_harveyi,35,30,1099.5565
Canarium_indicum,47.5,22.5,1119.191438
Canarium_littorale,57.5,22.5,1354.810688
Canarium_microcarpum,16.25,10,170.1694583
Canarium_odontophyllum,30,18.75,589.048125
Canarium_oleiferum,35,20,733.0376667
Canarium_ovatum,48.75,23.75,1212.457391
Canarium_patentinervium,45,23.75,1119.191438
Canarium_pilosum,25,11.25,294.5240625
Canarium_rufum,57.5,22.5,1354.810688
Canarium_schweinfurthii,35.5,18.5,687.7464108
Canarium_strictum,45,15,706.85775
Canarium_tramdenum,35,15,549.77825
Canarium_vulgare,42.5,22.5,1001.381813
Canarium_whitei,30,22.5,706.85775
Canarium_zeylanicum,37.5,20,785.3975
Dacryodes_buettneri,30,14,439.8226
Dacryodes_costata,15.5,10,162.3154833
Dacryodes_cuspidata,35,19,696.3857833
Dacryodes_edulis,42.5,19,845.6113083
Dacryodes_excelsa,25,11,287.9790833
Dacryodes_igaganga,30,20,628.318
Dacryodes_kingii,23.75,11.25,279.7978594
Dacryodes_klaineana,30,14,439.8226
Dacryodes_laxa,35,13.75,503.9633958
Dacryodes_macrophylla,30,20,628.318
Dacryodes_rostrata,28.75,15,451.6035625
Dacryodes_rubiginosa,23.75,11.25,279.7978594
Dacryodes_rugosa,20,11.25,235.61925
Garuga_floribunda,7,8.5,62.30820167
Santiria_apiculata,13,9.5,129.3287883
Santiria_apiculata1,13,9.5,129.3287883
Santiria_conferta,11.25,13.75,161.9882344
Santiria_conferta1,11.25,13.75,161.9882344
Santiria_griffithii,10.5,12,131.94678
Santiria_oblongifolia,18.75,15,294.5240625
Santiria_rubiginosa,10.5,8,87.96452
Santiria_tomentosa,16.25,13.75,233.9830052
Canarium_ampasindavae,50.38666667,27.77,1465.27709
Canarium_arcuatum,42,25,1099.5565
Canarium_betamponae,34.741875,27.85,1013.226883
Canarium_boivinii,45.01666667,24.97333333,1177.275481
Canarium_compressum,38.03,26.60555556,1059.563303
Canarium_egregium,52.55333333,24.31,1337.868651
Canarium_elegans,41.985,29.4125,1293.166212
Canarium_ferrugineum,35.94692308,24.32923077,915.8373504
Canarium_galokense,35.865,28.17,1058.000647
Canarium_globosum,30.4525,25.14725,801.9396789
Canarium_lamianum,41.16720588,23.94397059,1032.228422
Canarium_longistipulatum,41.9825,28.5475,1255.060408
Canarium_madagascariense,50,24,1256.636
Canarium_multiflorum,32.8325,22.60111111,777.0733133
Canarium_multinervis,34,22.5,801.10545
Canarium_ntidifolium,34.18916667,24.91416667,891.9964622
Canarium_obtusifolium,39.44842105,24.60421053,1016.406212
Canarium_pilicarpum,42.56333333,22.41666667,999.1597194
Canarium_planifolium,49.609,27.597,1433.674621
Canarium_pulchrebracteatum,36.95153846,24.82923077,960.7801921
Canarium_scholasticum,43.79875,25.84166667,1185.251428
Canarium_subtilis,27.82,24.85,723.95533
Canarium_velutinofolium,57.33333333,20.33333333,1220.798603
Trattinnickia_demerarae,12,11.25,141.37155
Trattinnickia_glaziovii,12,10.75,135.08837
