species,fruit_length_cm,fruit_width_cm,fruit_volume_cm^3
Canarium_ampasindavae,50.38666667,27.77,1465.27709
Canarium_arcuatum,42,25,1099.5565
Canarium_betamponae,34.741875,27.85,1013.226883
Canarium_boivinii,45.01666667,24.97333333,1177.275481
Canarium_compressum,38.03,26.60555556,1059.563303
Canarium_egregium,52.55333333,24.31,1337.868651
Canarium_elegans,41.985,29.4125,1293.166212
Canarium_ferrugineum,35.94692308,24.32923077,915.8373504
Canarium_galokense,35.865,28.17,1058.000647
Canarium_globosum,30.4525,25.14725,801.9396789
Canarium_lamianum,41.16720588,23.94397059,1032.228422
Canarium_longistipulatum,41.9825,28.5475,1255.060408
Canarium_madagascariense,50,24,1256.636
Canarium_multiflorum,32.8325,22.60111111,777.0733133
Canarium_multinervis,34,22.5,801.10545
Canarium_ntidifolium,34.18916667,24.91416667,891.9964622
Canarium_obtusifolium,39.44842105,24.60421053,1016.406212
Canarium_pilicarpum,42.56333333,22.41666667,999.1597194
Canarium_planifolium,49.609,27.597,1433.674621
Canarium_pulchrebracteatum,36.95153846,24.82923077,960.7801921
Canarium_scholasticum,43.79875,25.84166667,1185.251428
