Species,Group,x,y
Cheirogaleus_medius,1,-3.787291924,11.9921922
Microcebus_murinus,1,-1.051774454,4.7422021
Hadropithecus_stenognathus,2,-30.77039886,5.1911499
Archaeolemur_majori,2,2.988929543,0.7463882
Palaeopropithecus_ingens,2,-16.87116848,1.4640997
Mesopropithecus,2,3.823659543,14.692593
Babakotia,2,4.243613924,7.1092925
Propithecus_edwardsi,1,0.005298036,3.8509372
Propithecus_diadema,1,-13.75878608,-18.3966845
Propithecus_coquereli,1,-6.022142125,-11.7590994
Pachylemur_jullyi,2,-5.363347527,8.6691041
Pachylemur_insignis,2,-8.546005372,10.2053859
Varecia_variegata,1,-21.99046238,0.119843
Varecia_variegata_rubra,1,-24.63566306,15.5596652
Lemur_catta,1,-0.914748962,5.0830129
Eulemur_coronatus,1,-9.613019274,3.4628403
Eulemur_macaco_macaco,1,-14.4121633,4.816314
Eulemur_mongoz,1,-4.37375302,4.0185411
Eulemur_rubriventer,1,-22.9684143,1.3432536
Eulemur_fulvus_collaris,1,-20.64077,-3.9125136
Eulemur_fulvus_fulvus,1,-10.89239554,7.3604194
